,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
2093,Accord,Riyadh,Honda,Automatic,Saudi,Full,2018,1.5,39000,False,72000
2094,Hilux,Tabouk,Toyota,Manual,Saudi,Standard,2011,1.4,300000,False,20000
2095,Wrangler,Dammam,Jeep,Automatic,Saudi,Full,2018,3.0,70000,False,108000
2097,Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2007,5.0,303000,False,36000
2098,VTC,Dammam,Nissan,Manual,Saudi,Standard,2009,4.0,54000,False,42000
2099,Taurus,Hail,Ford,Automatic,Saudi,Semi Full,2012,6.0,166000,False,30000
2104,Land Cruiser Pickup,Riyadh,Nissan,Manual,Saudi,Full,2016,4.8,50000,False,85000
2105,H2,Jeddah,HAVAL,Automatic,Saudi,Full,2021,1.5,2800,False,57000
2106,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,114154,False,43000
2107,Wrangler,Dammam,Jeep,Automatic,Saudi,Full,2018,3.6,61300,False,165000
2108,The 7,Jeddah,BMW,Automatic,Saudi,Full,2015,3.5,110000,False,105000
2109,FJ,Riyadh,Toyota,Automatic,Saudi,Full,2015,4.0,259880,False,89000
